hero,screentime,appearance,importance,budget_by_screentime,revenue_by_screentime,twitter_follower,avg_screentime
Agent Coulson,1290,5,0,27681844.65,141641763.6,0,540
Betty Ross,1620,1,0,41432225.06,73133676.64,0,0
Dr. Hank Pym,2940,3,0,80322588.65,276580291.2,0,30
Drax,2475,4,0,60268969.9,263247001,0,203
Emil Blonsky,1110,1,0,28388746.8,50110111.77,0,0
Erik Killmonger,1335,1,0,36853002.07,240199811.6,0,0
Falcon,2115,6,0,49434737.39,219602101.3,0,160
Gamora,4785,4,0,121222159,546269471.6,0,743
Groot,2070,4,0,49911839.65,217442892.9,0,150
Hawkeye,3030,5,0,71880969.86,408791255.3,0,915
Heimdall,855,5,0,22603521.35,85414245.13,0,38
Hela,750,1,0,17612524.46,80781704.6,0,0
Iron Monger,1320,1,0,22857142.86,94850364.57,0,0
Ivan Vanko,1245,1,0,30740740.74,91311310.9,0,0
Jane Foster,2775,3,0,76835728.17,249266806.2,0,15
Mantis,1050,3,0,29088521.86,131578282.7,0,195
M'Baku,420,3,0,11843713.13,73668796.08,0,38
Nakia,1005,1,0,27743271.22,180824577.3,0,0
Nebula,2055,4,0,50794288.06,254695522.2,0,578
Nick Fury,4605,11,0,116884099.7,685203416.7,0,338
Odin,1440,3,0,38025614.41,127725834.1,0,0
Okoye,1035,3,0,29013779.42,178345354.3,0,135
Peggy Carter,1290,5,0,30471372.82,87341292.47,0,38
Pepper Potts,4185,7,0,105200144.4,497632041.2,0,205
Quicksilver,615,2,0,16905717.62,91230488.43,0,600
Red Skull,930,1,0,22199488.49,55109033.79,0,0
Rocket Raccoon,3225,4,0,78409779.78,356893153.8,0,435
Scarlet Witch,2055,5,0,56052920.99,278585220.2,0,465
Sharon Carter,450,2,0,10173799.89,43007515.41,0,0
Shuri,990,3,0,27272522.92,174048099.4,0,60
Star-Lord,5745,4,0,137106159.3,596856501.6,0,398
Thanos,2685,5,0,80288489.26,406164859.4,0,656
The Ancient One,1245,2,0,33889927.06,143119519,0,210
Valkyrie,990,2,0,23288698.73,110763231.7,0,135
Vision,1410,3,0,40080193.53,195266265.9,0,488
Vulture,1140,1,0,31666666.67,157715538.2,0,0
War Machine,3525,8,0,91099332.97,415140519.6,0,290
Wasp,3120,3,0,90743606.12,302147121,0,75
Winter Soldier,2910,7,0,67841389.8,276301086.8,0,128
Wong,675,3,0,19667194.25,85834985.92,0,128
Ant-Man,6705,4,1,177512439.8,663603922.1,1100,795
Black Panther,3885,4,1,104865701.9,635574182.6,1400,158
Black Widow,6630,9,1,154534308.6,777473173.2,71.8,956
Captain America,14610,10,1,339745604.1,1483485047,2600,1320
Captain Marvel,4260,2,1,121912620.9,820602902.9,1100,360
Doctor Strange,5340,4,1,151218290,622915754.6,1200,375
Hulk,8475,8,1,211245975.1,865697246.7,459,1069
Iron Man,21465,11,1,539901549.2,2636124493,2400,1661
Loki,4710,6,1,115389567,493279519.4,166.9,525
Spider-Man,9750,5,1,297224823.5,1741836486,966.9,308
Thor,12330,8,1,313651686.8,1362533626,2100,1016
