Character,Movies,Year
Agent Coulson,Iron Man ,2008
Betty Ross,The Incredible Hulk,2008
Emil Blonsky,The Incredible Hulk,2008
Hulk,The Incredible Hulk,2008
Iron Monger,Iron Man ,2008
Nick Fury,Iron Man ,2008
Pepper Potts,Iron Man ,2008
Iron Man,Iron Man ,2008
Iron Man,The Incredible Hulk,2008
War Machine,Iron Man ,2008
Agent Coulson,Iron Man 2,2010
Black Widow,Iron Man 2,2010
Ivan Vanko,Iron Man 2,2010
Nick Fury,Iron Man 2,2010
Pepper Potts,Iron Man 2,2010
Iron Man,Iron Man 2,2010
War Machine,Iron Man 2,2010
Agent Coulson,Thor,2011
Captain America,Captain America: The First Avenger,2011
Hawkeye,Thor,2011
Heimdall,Thor,2011
Jane Foster,Thor,2011
Loki,Thor,2011
Nick Fury,Captain America: The First Avenger,2011
Odin,Thor,2011
Peggy Carter,Captain America: The First Avenger,2011
Red Skull,Captain America: The First Avenger,2011
Thor Odinson,Thor,2011
Winter Soldier,Captain America: The First Avenger,2011
Agent Coulson,Avengers,2012
Black Widow,Avengers,2012
Captain America,Avengers,2012
Hawkeye,Avengers,2012
Hulk,Avengers,2012
Loki,Avengers,2012
Nick Fury,Avengers,2012
Pepper Potts,Avengers,2012
Thanos,Avengers,2012
Thor Odinson,Avengers,2012
Iron Man,Avengers,2012
Captain America,Thor: The Dark World,2013
Heimdall,Thor: The Dark World,2013
Hulk,Iron Man 3,2013
Jane Foster,Thor: The Dark World,2013
Loki,Thor: The Dark World,2013
Odin,Thor: The Dark World,2013
Pepper Potts,Iron Man 3,2013
Thor Odinson,Thor: The Dark World,2013
Iron Man,Iron Man 3,2013
War Machine,Iron Man 3,2013
Black Widow,Captain America: The Winter Soldier,2014
Captain America,Captain America: The Winter Soldier,2014
Drax,Guardians of the Galaxy,2014
Falcon,Captain America: The Winter Soldier,2014
Gamora,Guardians of the Galaxy,2014
Groot,Guardians of the Galaxy,2014
Nebula,Guardians of the Galaxy,2014
Nick Fury,Captain America: The Winter Soldier,2014
Peggy Carter,Captain America: The Winter Soldier,2014
Quicksilver,Captain America: The Winter Soldier,2014
Scarlet Witch,Captain America: The Winter Soldier,2014
Sharon Carter,Captain America: The Winter Soldier,2014
Star-Lord,Guardians of the Galaxy,2014
Thanos,Guardians of the Galaxy,2014
Winter Soldier,Captain America: The Winter Soldier,2014
Ant-Man,Ant-Man,2015
Black Widow,Avengers: Age of Ultron,2015
Captain America,Avengers: Age of Ultron,2015
Dr. Hank Pym,Ant-Man,2015
Falcon,Ant-Man,2015
