id,name,firstmovie,year,total,movies ,img_path,series
20,Iron Man,Iron Man ,2008,10,"Iron Man,  	2008
The Incredible Hulk, 	2008
Iron Man 2, 	2010
Avengers, 	2012
Iron Man 3, 	2013
Avengers: Age of Ultron, 	2015
Captain America: Civil War, 	2016
Spider-Man: Homecoming, 	2017
Avengers: Infinity War, 	2018
Avengers: Endgame, 	2019",img/iron_man.jpg,0
29,Nick Fury,Iron Man ,2008,10,"Iron Man , 	2008
Iron Man 2, 	2010
Captain America: The First Avenger, 	2011
Avengers, 	2012
Captain America: The Winter Soldier, 	2014
Avengers: Age of Ultron, 	2015
Avengers: Infinity War, 	2018
Avengers: Endgame, 	2019
Captain Marvel, 	2019
Spider-Man: Far from Home, 	2019",img/nick_fury.jpg,1
19,Hulk,The Incredible Hulk,2008,7,"The Incredible Hulk, 	2008
Avengers, 	2012
Iron Man 3, 	2013
Avengers: Age of Ultron, 	2015
Thor: Ragnarok, 	2017
Avengers: Infinity War, 	2018
Avengers: Endgame, 	2019",img/hulk.jpg,2
33,Pepper Potts,Iron Man ,2008,7,"Iron Man, 	2008
Iron Man 2, 	2010
Avengers, 	2012
Iron Man 3, 	2013
Spider-Man: Homecoming, 	2017
Avengers: Infinity War, 	2018
Avengers: Endgame, 	2019",img/pepper_potts.jpg,3
48,War Machine,Iron Man ,2008,7,"Iron Man,  	2008
Iron Man 2, 	2010
Iron Man 3, 	2013
Avengers: Age of Ultron, 	2015
Captain America: Civil War, 	2016
Avengers: Infinity War, 	2018
Avengers: Endgame, 	2019",img/war_machine.jpg,4
1,Agent Coulson,Iron Man ,2008,5,"Iron Man , 2008
Iron Man 2, 2010
Thor, 2011
Avengers, 2012
Captain Marvel, 2019",img/agent_coulson.jpg,5
3,Betty Ross,The Incredible Hulk,2008,1,"The Incredible Hulk, 2008",img/betty_ross.jpg,6
11,Emil Blonsky,The Incredible Hulk,2008,1,"The Incredible Hulk, 	2008",img/emil_blonsky.jpg,7
21,Iron Monger,Iron Man ,2008,1,"Iron Man,  	2008",img/iron_monger.jpg,8
5,Black Widow,Iron Man 2,2010,7,"Iron Man 2, 	2010
Avengers, 	2012
Captain America: The Winter Soldier	, 2014
Avengers: Age of Ultron, 	2015
Captain America: Civil War, 	2016
Avengers: Infinity War, 	2018
Avengers: Endgame, 	2019",img/black_widow.jpg,0
22,Ivan Vanko,Iron Man 2,2010,1,"Iron Man 2, 	2010",img/ivan_vanko.jpg,1
6,Captain America,Captain America: The First Avenger,2011,9,"Captain America: The First Avenger, 	2011
Avengers, 	2012
Thor: The Dark World, 	2013
Captain America: The Winter Soldier	, 2014
Avengers: Age of Ultron, 	2015
Captain America: Civil War, 	2016
Spider-Man: Homecoming, 	2017
Avengers: Infinity War, 	2018
Avengers: Endgame, 	2019",img/captain_america.jpg,0
44,Thor Odinson,Thor,2011,8,"Thor, 	2011
Avengers, 	2012
Thor: The Dark World, 	2013
Avengers: Age of Ultron, 	2015
Doctor Strange, 	2016
Thor: Ragnarok, 	2017
Avengers: Infinity War, 	2018
Avengers: Endgame, 	2019",img/thor.jpg,1
16,Hawkeye,Thor,2011,5,"Thor, 	2011
Avengers, 	2012
Avengers: Age of Ultron, 	2015
Captain America: Civil War, 	2016
Avengers: Endgame, 	2019",img/hawkeye.jpg,2
17,Heimdall,Thor,2011,5,"Thor, 	2011
Thor: The Dark World, 	2013
Avengers: Age of Ultron, 	2015
Thor: Ragnarok, 	2017
Avengers: Infinity War, 	2018",img/heimdall.jpg,3
24,Loki,Thor,2011,5,"Thor, 	2011
Avengers, 	2012
Thor: The Dark World, 	2013
Thor: Ragnarok, 	2017
Avengers: Infinity War, 	2018",img/loki.jpg,4
50,Winter Soldier,Captain America: The First Avenger,2011,5,"Captain America: The First Avenger, 	2011
Captain America: The Winter Soldier, 	2014
Captain America: Civil War, 	2016
Avengers: Infinity War, 	2018
Avengers: Endgame, 	2019",img/winter_soldier.jpg,5
23,Jane Foster,Thor,2011,3,"Thor, 	2011
Thor: The Dark World, 	2013
Avengers: Endgame, 	2019",img/jane_foster.jpg,6
30,Odin,Thor,2011,3,"Thor, 	2011
Thor: The Dark World, 	2013
Thor: Ragnarok, 	2017",img/odin.jpg,7
