character,freq
Betty Ross,1
Emil Blonsky,1
Erik Killmonger,1
Hela,1
Iron Monger,1
Ivan Vanko,1
Nakia,1
Vulture,1
Dr. Hank Pym,2
Quicksilver,2
Sharon Carter,2
The Ancient One,2
Wasp,2
Captain Marvel,3
Jane Foster,3
Mantis,3
M'Baku,3
Odin,3
Okoye,3
Peggy Carter,3
Red Skull,3
Shuri,3
Valkyrie,3
Vision,3
Wong,3
Ant-Man,4
Drax,4
Gamora,4
Groot,4
Nebula,4
Rocket Raccoon,4
Star-Lord,4
Doctor Strange,4
Black Panther,4
Agent Coulson,5
Hawkeye,5
Heimdall,5
Loki,5
Scarlet Witch,5
Spider-Man,5
Thanos,5
Winter Soldier,5
Falcon,6
Black Widow,7
Hulk,7
Pepper Potts,7
War Machine,7
Thor Odinson,8
Captain America,9
Nick Fury,10
Iron Man,10
