Character,Year,importance,Appearance,Series
Agent Coulson,2008,0,1,0
Betty Ross,2008,0,1,1
Emil Blonsky,2008,0,1,2
Hulk,2008,1,1,3
Iron Man,2008,1,1,4
Iron Monger,2008,0,1,5
Nick Fury,2008,0,1,6
Pepper Potts,2008,0,1,7
War Machine,2008,0,1,8
Agent Coulson,2010,0,0,0
Black Widow,2010,1,1,5
Iron Man,2010,1,0,1
Ivan Vanko,2010,0,1,6
Nick Fury,2010,0,0,2
Pepper Potts,2010,0,0,3
War Machine,2010,0,0,4
Agent Coulson,2011,0,0,0
Captain America,2011,1,1,2
Hawkeye,2011,0,1,3
Heimdall,2011,0,1,4
Jane Foster,2011,0,1,5
Loki,2011,1,1,6
Nick Fury,2011,0,0,1
Odin,2011,0,1,7
Peggy Carter,2011,0,1,8
Red Skull,2011,0,1,9
Thor,2011,1,1,10
Winter Soldier,2011,0,1,11
Agent Coulson,2012,0,0,0
Black Widow,2012,1,0,1
Captain America,2012,1,0,2
Hawkeye,2012,0,0,3
Hulk,2012,1,0,4
Iron Man,2012,1,0,5
Loki,2012,1,0,6
Nick Fury,2012,0,0,7
Pepper Potts,2012,0,0,8
Thanos,2012,0,1,10
Thor,2012,1,0,9
Captain America,2013,1,0,0
Heimdall,2013,0,0,1
Hulk,2013,1,0,2
Iron Man,2013,1,0,3
Jane Foster,2013,0,0,4
Loki,2013,1,0,5
Odin,2013,0,0,6
Pepper Potts,2013,0,0,7
Thor,2013,1,0,8
War Machine,2013,0,0,9
Black Widow,2014,1,0,0
Captain America,2014,1,0,1
Drax,2014,0,1,6
Falcon,2014,0,1,7
Gamora,2014,0,1,8
Groot,2014,0,1,9
Nebula,2014,0,1,10
Nick Fury,2014,0,0,2
Peggy Carter,2014,0,0,3
Quicksilver,2014,0,1,11
Rocket Raccoon,2014,0,1,12
Scarlet Witch,2014,0,1,13
Sharon Carter,2014,0,1,14
Star-Lord,2014,0,1,15
Thanos,2014,0,0,4
Winter Soldier,2014,0,0,5
Ant-Man,2015,1,1,14
Black Widow,2015,1,0,0
Captain America,2015,1,0,1
Dr. Hank Pym,2015,0,1,15
Falcon,2015,0,0,2
Falcon,2015,0,0,3
