hero1,hero2,conns
Iron Man,Captain America,446
Thor Odinson,Captain America,386
Thor Odinson,Iron Man,344
Black Panther,Captain America,131
Black Panther,Iron Man,120
Black Panther,Thor Odinson,103
Doctor Strange,Captain America,67
Doctor Strange,Iron Man,52
Doctor Strange,Thor Odinson,41
Doctor Strange,Black Panther,23
Ant-Man,Captain America,21
Ant-Man,Iron Man,27
Ant-Man,Thor Odinson,19
Ant-Man,Black Panther,8
Ant-Man,Doctor Strange,2
Captain Marvel,Captain America,34
Captain Marvel,Iron Man,36
Captain Marvel,Thor Odinson,26
Captain Marvel,Black Panther,15
Captain Marvel,Doctor Strange,2
Captain Marvel,Ant-Man,1
Spider-Man,Captain America,145
Spider-Man,Iron Man,94
Spider-Man,Thor Odinson,95
Spider-Man,Black Panther,24
Spider-Man,Doctor Strange,71
Spider-Man,Ant-Man,5
Spider-Man,Captain Marvel,11
Hulk,Captain America,7
Hulk,Iron Man,14
Hulk,Thor Odinson,6
Hulk,Black Panther,2
Hulk,Doctor Strange,3
Hulk,Spider-Man,4
Loki,Captain America,32
Loki,Iron Man,28
Loki,Thor Odinson,182
Loki,Black Panther,10
Loki,Doctor Strange,13
Loki,Ant-Man,1
Loki,Spider-Man,11
Black Widow,Captain America,143
Black Widow,Iron Man,94
Black Widow,Thor Odinson,61
Black Widow,Black Panther,44
Black Widow,Doctor Strange,19
Black Widow,Ant-Man,6
Black Widow,Captain Marvel,10
Black Widow,Spider-Man,40
Black Widow,Loki,5
War Machine,Iron Man,5
Winter Soldier,Captain America,301
Winter Soldier,Iron Man,4
Winter Soldier,Thor Odinson,4
Winter Soldier,Captain Marvel,1
Winter Soldier,Loki,2
Hawkeye,Captain America,322
Hawkeye,Iron Man,294
Hawkeye,Thor Odinson,210
Hawkeye,Black Panther,95
Hawkeye,Doctor Strange,35
Hawkeye,Ant-Man,11
Hawkeye,Captain Marvel,22
Hawkeye,Spider-Man,57
Hawkeye,Hulk,6
Hawkeye,Loki,14
Hawkeye,Black Widow,99
Hawkeye,Winter Soldier,2
Scarlet Witch,Captain America,374
Scarlet Witch,Iron Man,372
Scarlet Witch,Thor Odinson,254
Scarlet Witch,Black Panther,108
Scarlet Witch,Doctor Strange,62
Scarlet Witch,Ant-Man,7
Scarlet Witch,Captain Marvel,32
Scarlet Witch,Spider-Man,67
Scarlet Witch,Hulk,4
Scarlet Witch,Loki,23
Scarlet Witch,Black Widow,95
Scarlet Witch,Hawkeye,301
Falcon,Captain America,189
