hero1,hero2
IRON MAN/TONY STARK ,WASP/JANET VAN DYNE 
IRON MAN/TONY STARK ,HAWK
IRON MAN/TONY STARK ,SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,WASP/JANET VAN DYNE 
SCARLET WITCH/WANDA ,HAWK
HAWK,WASP/JANET VAN DYNE 
SCARLET WITCH/WANDA ,CAPTAIN AMERICA
SCARLET WITCH/WANDA ,VISION 
SCARLET WITCH/WANDA ,IRON MAN/TONY STARK 
SCARLET WITCH/WANDA ,BLACK PANTHER/T'CHAL
BLACK PANTHER/T'CHAL,CAPTAIN AMERICA
BLACK PANTHER/T'CHAL,VISION 
BLACK PANTHER/T'CHAL,IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,CAPTAIN AMERICA
IRON MAN/TONY STARK ,VISION 
VISION ,CAPTAIN AMERICA
"CARTER, SHARON",CAPTAIN AMERICA
LOKI [ASGARDIAN],HEIMDALL [ASGARDIAN]
HAWK,IRON MAN/TONY STARK 
ABOMINATION/EMIL BLO,"BANNER, BETTY ROSS T"
THOR/DR. DONALD BLAK,SPIDER-MAN/PETER PAR
CAPTAIN AMERICA,THOR/DR. DONALD BLAK
CAPTAIN AMERICA,IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,THOR/DR. DONALD BLAK
CAPTAIN AMERICA,WASP/JANET VAN DYNE 
CAPTAIN AMERICA,IRON MAN/TONY STARK 
CAPTAIN AMERICA,THOR/DR. DONALD BLAK
CAPTAIN AMERICA,ANT-MAN/DR. HENRY J.
ANT-MAN/DR. HENRY J.,WASP/JANET VAN DYNE 
ANT-MAN/DR. HENRY J.,IRON MAN/TONY STARK 
ANT-MAN/DR. HENRY J.,THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,WASP/JANET VAN DYNE 
THOR/DR. DONALD BLAK,IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,WASP/JANET VAN DYNE 
ANT-MAN/DR. HENRY J.,CAPTAIN AMERICA
ANT-MAN/DR. HENRY J.,THOR/DR. DONALD BLAK
ANT-MAN/DR. HENRY J.,IRON MAN/TONY STARK 
ANT-MAN/DR. HENRY J.,WASP/JANET VAN DYNE 
WASP/JANET VAN DYNE ,CAPTAIN AMERICA
WASP/JANET VAN DYNE ,THOR/DR. DONALD BLAK
WASP/JANET VAN DYNE ,IRON MAN/TONY STARK 
IRON MAN/TONY STARK ,CAPTAIN AMERICA
IRON MAN/TONY STARK ,THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,CAPTAIN AMERICA
IRON MAN/TONY STARK ,CAPTAIN AMERICA
IRON MAN/TONY STARK ,THOR/DR. DONALD BLAK
THOR/DR. DONALD BLAK,CAPTAIN AMERICA
HAWK,VISION 
HAWK,BLACK PANTHER/T'CHAL
HAWK,IRON MAN/TONY STARK 
HAWK,BLACK WIDOW/NATASHA 
HAWK,ANT-MAN/DR. HENRY J.
HAWK,CAPTAIN AMERICA
HAWK,THOR/DR. DONALD BLAK
HAWK,WASP/JANET VAN DYNE 
HAWK,SCARLET WITCH/WANDA 
SCARLET WITCH/WANDA ,VISION 
